IP地址,端口,TLS,数据中心,源IP位置,地区,城市,地区(中文),国家,城市(中文),国旗,网络延迟,下载速度
172.66.128.151,8443,true,FRA,CN,Europe,Frankfurt,欧洲,德国,法兰克福,🇩🇪,157 ms,6680 kB/s
49.238.238.92,8443,true,SJC,CN,North America,San Jose,北美洲,美国,圣何塞,🇺🇸,169 ms,6652 kB/s
172.66.129.122,2083,true,FRA,CN,Europe,Frankfurt,欧洲,德国,法兰克福,🇩🇪,177 ms,6631 kB/s
49.238.238.149,2083,true,SJC,CN,North America,San Jose,北美洲,美国,圣何塞,🇺🇸,177 ms,6626 kB/s
172.66.131.51,443,true,FRA,CN,Europe,Frankfurt,欧洲,德国,法兰克福,🇩🇪,176 ms,6613 kB/s
172.66.130.160,2053,true,FRA,CN,Europe,Frankfurt,欧洲,德国,法兰克福,🇩🇪,171 ms,6612 kB/s
49.238.238.132,2083,true,SJC,CN,North America,San Jose,北美洲,美国,圣何塞,🇺🇸,177 ms,6587 kB/s
172.66.130.172,443,true,FRA,CN,Europe,Frankfurt,欧洲,德国,法兰克福,🇩🇪,172 ms,6579 kB/s
172.66.130.193,8443,true,FRA,CN,Europe,Frankfurt,欧洲,德国,法兰克福,🇩🇪,167 ms,6566 kB/s
172.66.130.212,2083,true,FRA,CN,Europe,Frankfurt,欧洲,德国,法兰克福,🇩🇪,175 ms,6481 kB/s
172.66.130.165,8443,true,FRA,CN,Europe,Frankfurt,欧洲,德国,法兰克福,🇩🇪,196 ms,6455 kB/s
172.66.129.83,2053,true,FRA,CN,Europe,Frankfurt,欧洲,德国,法兰克福,🇩🇪,184 ms,6452 kB/s
172.66.132.145,8443,true,FRA,CN,Europe,Frankfurt,欧洲,德国,法兰克福,🇩🇪,170 ms,6428 kB/s
172.66.131.77,8443,true,FRA,CN,Europe,Frankfurt,欧洲,德国,法兰克福,🇩🇪,184 ms,6419 kB/s
94.159.109.65,8443,true,FRA,DE,Europe,Frankfurt,欧洲,德国,法兰克福,🇩🇪,173 ms,6413 kB/s
172.66.128.187,8443,true,FRA,CN,Europe,Frankfurt,欧洲,德国,法兰克福,🇩🇪,185 ms,6390 kB/s
172.66.132.8,2083,true,FRA,CN,Europe,Frankfurt,欧洲,德国,法兰克福,🇩🇪,182 ms,6390 kB/s
172.66.131.196,443,true,FRA,CN,Europe,Frankfurt,欧洲,德国,法兰克福,🇩🇪,184 ms,6378 kB/s
172.66.131.193,2053,true,FRA,CN,Europe,Frankfurt,欧洲,德国,法兰克福,🇩🇪,186 ms,6364 kB/s
49.238.237.61,2053,true,SJC,CN,North America,San Jose,北美洲,美国,圣何塞,🇺🇸,193 ms,6321 kB/s
172.66.130.241,2053,true,FRA,CN,Europe,Frankfurt,欧洲,德国,法兰克福,🇩🇪,190 ms,6319 kB/s
185.193.28.30,443,true,SJC,CN,North America,San Jose,北美洲,美国,圣何塞,🇺🇸,172 ms,6311 kB/s
172.66.130.194,8443,true,FRA,CN,Europe,Frankfurt,欧洲,德国,法兰克福,🇩🇪,164 ms,6287 kB/s
119.204.100.216,12365,true,ICN,KR,Asia Pacific,Seoul,亚洲,韩国,首尔,🇰🇷,146 ms,6255 kB/s
49.238.239.26,443,true,SJC,CN,North America,San Jose,北美洲,美国,圣何塞,🇺🇸,175 ms,6255 kB/s
49.238.237.32,2053,true,SJC,CN,North America,San Jose,北美洲,美国,圣何塞,🇺🇸,178 ms,6249 kB/s
49.238.238.92,2053,true,SJC,CN,North America,San Jose,北美洲,美国,圣何塞,🇺🇸,172 ms,6235 kB/s
172.66.131.173,443,true,FRA,CN,Europe,Frankfurt,欧洲,德国,法兰克福,🇩🇪,170 ms,6220 kB/s
49.238.236.24,2053,true,SJC,CN,North America,San Jose,北美洲,美国,圣何塞,🇺🇸,172 ms,6188 kB/s
49.238.238.153,2053,true,SJC,CN,North America,San Jose,北美洲,美国,圣何塞,🇺🇸,173 ms,6179 kB/s
172.66.133.163,2053,true,FRA,CN,Europe,Frankfurt,欧洲,德国,法兰克福,🇩🇪,170 ms,6167 kB/s
159.69.102.75,2096,true,FRA,DE,Europe,Frankfurt,欧洲,德国,法兰克福,🇩🇪,183 ms,6162 kB/s
172.66.129.69,443,true,FRA,CN,Europe,Frankfurt,欧洲,德国,法兰克福,🇩🇪,183 ms,6156 kB/s
172.66.132.114,2083,true,FRA,CN,Europe,Frankfurt,欧洲,德国,法兰克福,🇩🇪,175 ms,6146 kB/s
172.66.132.236,443,true,FRA,CN,Europe,Frankfurt,欧洲,德国,法兰克福,🇩🇪,170 ms,6138 kB/s
172.66.130.34,2053,true,FRA,CN,Europe,Frankfurt,欧洲,德国,法兰克福,🇩🇪,178 ms,6126 kB/s
172.66.134.99,2053,true,FRA,CN,Europe,Frankfurt,欧洲,德国,法兰克福,🇩🇪,179 ms,6122 kB/s
188.116.23.17,8443,true,AMS,NL,Europe,Amsterdam,欧洲,荷兰,阿姆斯特丹,🇳🇱,223 ms,6109 kB/s
49.238.238.161,443,true,SJC,CN,North America,San Jose,北美洲,美国,圣何塞,🇺🇸,178 ms,6102 kB/s
172.66.130.214,8443,true,FRA,CN,Europe,Frankfurt,欧洲,德国,法兰克福,🇩🇪,178 ms,6096 kB/s
49.238.238.149,2053,true,SJC,CN,North America,San Jose,北美洲,美国,圣何塞,🇺🇸,185 ms,6093 kB/s
93.185.166.62,8443,true,AMS,NL,Europe,Amsterdam,欧洲,荷兰,阿姆斯特丹,🇳🇱,237 ms,6089 kB/s
49.238.237.58,2053,true,SJC,CN,North America,San Jose,北美洲,美国,圣何塞,🇺🇸,185 ms,6079 kB/s
172.66.131.173,2053,true,FRA,CN,Europe,Frankfurt,欧洲,德国,法兰克福,🇩🇪,174 ms,6076 kB/s
172.66.130.62,8443,true,FRA,CN,Europe,Frankfurt,欧洲,德国,法兰克福,🇩🇪,165 ms,6070 kB/s
172.66.131.191,8443,true,FRA,CN,Europe,Frankfurt,欧洲,德国,法兰克福,🇩🇪,172 ms,6046 kB/s
45.112.195.55,2053,true,CDG,FR,Europe,Paris,欧洲,法国,巴黎,🇫🇷,192 ms,6030 kB/s
49.238.239.15,443,true,SJC,CN,North America,San Jose,北美洲,美国,圣何塞,🇺🇸,182 ms,5980 kB/s
194.76.173.6,2053,true,FRA,DE,Europe,Frankfurt,欧洲,德国,法兰克福,🇩🇪,173 ms,5973 kB/s
49.238.236.11,2083,true,SJC,CN,North America,San Jose,北美洲,美国,圣何塞,🇺🇸,177 ms,5970 kB/s
134.195.211.127,443,true,LAX,US,North America,Los Angeles,北美洲,美国,洛杉矶,🇺🇸,190 ms,5966 kB/s
172.66.131.218,2096,true,FRA,CN,Europe,Frankfurt,欧洲,德国,法兰克福,🇩🇪,197 ms,5957 kB/s
172.66.133.99,2053,true,FRA,CN,Europe,Frankfurt,欧洲,德国,法兰克福,🇩🇪,185 ms,5953 kB/s
172.66.132.76,2053,true,FRA,CN,Europe,Frankfurt,欧洲,德国,法兰克福,🇩🇪,170 ms,5938 kB/s
185.148.106.47,2087,true,SJC,CN,North America,San Jose,北美洲,美国,圣何塞,🇺🇸,167 ms,5917 kB/s
154.17.22.207,443,true,LAX,US,North America,Los Angeles,北美洲,美国,洛杉矶,🇺🇸,217 ms,5912 kB/s
172.66.132.58,2083,true,FRA,CN,Europe,Frankfurt,欧洲,德国,法兰克福,🇩🇪,178 ms,5899 kB/s
80.240.25.196,8443,true,FRA,DE,Europe,Frankfurt,欧洲,德国,法兰克福,🇩🇪,177 ms,5896 kB/s
45.159.189.26,2053,true,AMS,NL,Europe,Amsterdam,欧洲,荷兰,阿姆斯特丹,🇳🇱,229 ms,5894 kB/s
172.66.131.34,2083,true,FRA,CN,Europe,Frankfurt,欧洲,德国,法兰克福,🇩🇪,181 ms,5892 kB/s
31.133.0.135,2053,true,WAW,PL,Europe,Warsaw,欧洲,波兰,华沙,🇵🇱,202 ms,5888 kB/s
147.78.140.217,2083,true,SJC,CN,North America,San Jose,北美洲,美国,圣何塞,🇺🇸,172 ms,5885 kB/s
88.210.37.244,2053,true,LAX,US,North America,Los Angeles,北美洲,美国,洛杉矶,🇺🇸,185 ms,5874 kB/s
49.238.239.26,2053,true,SJC,CN,North America,San Jose,北美洲,美国,圣何塞,🇺🇸,172 ms,5872 kB/s
172.66.131.161,2053,true,FRA,CN,Europe,Frankfurt,欧洲,德国,法兰克福,🇩🇪,167 ms,5866 kB/s
172.66.129.127,8443,true,FRA,CN,Europe,Frankfurt,欧洲,德国,法兰克福,🇩🇪,173 ms,5865 kB/s
172.66.131.90,2083,true,FRA,CN,Europe,Frankfurt,欧洲,德国,法兰克福,🇩🇪,166 ms,5839 kB/s
104.160.47.72,18888,true,LAX,US,North America,Los Angeles,北美洲,美国,洛杉矶,🇺🇸,215 ms,5829 kB/s
94.23.74.37,8443,true,CDG,FR,Europe,Paris,欧洲,法国,巴黎,🇫🇷,184 ms,5828 kB/s
172.66.134.132,2083,true,FRA,CN,Europe,Frankfurt,欧洲,德国,法兰克福,🇩🇪,172 ms,5823 kB/s
49.238.238.148,8443,true,SJC,CN,North America,San Jose,北美洲,美国,圣何塞,🇺🇸,185 ms,5814 kB/s
172.66.128.165,2083,true,FRA,CN,Europe,Frankfurt,欧洲,德国,法兰克福,🇩🇪,169 ms,5783 kB/s
147.78.140.39,8443,true,SJC,CN,North America,San Jose,北美洲,美国,圣何塞,🇺🇸,180 ms,5783 kB/s
172.66.128.179,443,true,FRA,CN,Europe,Frankfurt,欧洲,德国,法兰克福,🇩🇪,199 ms,5738 kB/s
49.238.236.21,2053,true,SJC,CN,North America,San Jose,北美洲,美国,圣何塞,🇺🇸,170 ms,5716 kB/s
172.66.131.49,2053,true,FRA,CN,Europe,Frankfurt,欧洲,德国,法兰克福,🇩🇪,187 ms,5714 kB/s
216.151.163.119,443,true,SJC,US,North America,San Jose,北美洲,美国,圣何塞,🇺🇸,186 ms,5712 kB/s
141.193.213.21,2053,true,SJC,CN,North America,San Jose,北美洲,美国,圣何塞,🇺🇸,170 ms,5697 kB/s
172.66.134.54,8443,true,FRA,CN,Europe,Frankfurt,欧洲,德国,法兰克福,🇩🇪,171 ms,5696 kB/s
94.131.12.56,443,true,ZRH,CH,Europe,Zurich,欧洲,瑞士,苏黎世,🇨🇭,180 ms,5686 kB/s
188.208.197.10,8443,true,AMS,NL,Europe,Amsterdam,欧洲,荷兰,阿姆斯特丹,🇳🇱,230 ms,5682 kB/s
172.66.128.139,2087,true,FRA,CN,Europe,Frankfurt,欧洲,德国,法兰克福,🇩🇪,187 ms,5677 kB/s
172.66.130.229,2087,true,FRA,CN,Europe,Frankfurt,欧洲,德国,法兰克福,🇩🇪,172 ms,5668 kB/s
172.66.129.70,2053,true,FRA,CN,Europe,Frankfurt,欧洲,德国,法兰克福,🇩🇪,178 ms,5668 kB/s
172.66.129.113,2083,true,FRA,CN,Europe,Frankfurt,欧洲,德国,法兰克福,🇩🇪,183 ms,5651 kB/s
66.81.247.18,2083,true,SJC,CN,North America,San Jose,北美洲,美国,圣何塞,🇺🇸,182 ms,5649 kB/s
172.66.131.219,8443,true,FRA,CN,Europe,Frankfurt,欧洲,德国,法兰克福,🇩🇪,197 ms,5642 kB/s
185.193.31.234,2053,true,SJC,CN,North America,San Jose,北美洲,美国,圣何塞,🇺🇸,183 ms,5630 kB/s
172.66.131.37,443,true,FRA,CN,Europe,Frankfurt,欧洲,德国,法兰克福,🇩🇪,181 ms,5604 kB/s
172.66.134.30,8443,true,FRA,CN,Europe,Frankfurt,欧洲,德国,法兰克福,🇩🇪,180 ms,5585 kB/s
49.238.237.59,2053,true,SJC,CN,North America,San Jose,北美洲,美国,圣何塞,🇺🇸,177 ms,5575 kB/s
94.159.106.227,12020,true,FRA,DE,Europe,Frankfurt,欧洲,德国,法兰克福,🇩🇪,179 ms,5575 kB/s
172.66.128.93,2096,true,FRA,CN,Europe,Frankfurt,欧洲,德国,法兰克福,🇩🇪,186 ms,5563 kB/s
172.66.130.247,443,true,FRA,CN,Europe,Frankfurt,欧洲,德国,法兰克福,🇩🇪,172 ms,5553 kB/s
192.248.180.28,2053,true,FRA,DE,Europe,Frankfurt,欧洲,德国,法兰克福,🇩🇪,173 ms,5534 kB/s
5.255.110.78,443,true,AMS,NL,Europe,Amsterdam,欧洲,荷兰,阿姆斯特丹,🇳🇱,219 ms,5525 kB/s
172.66.131.194,443,true,FRA,CN,Europe,Frankfurt,欧洲,德国,法兰克福,🇩🇪,172 ms,5513 kB/s
172.66.131.220,443,true,FRA,CN,Europe,Frankfurt,欧洲,德国,法兰克福,🇩🇪,187 ms,5493 kB/s
147.185.161.78,443,true,SJC,CN,North America,San Jose,北美洲,美国,圣何塞,🇺🇸,172 ms,5485 kB/s
172.66.132.91,2087,true,FRA,CN,Europe,Frankfurt,欧洲,德国,法兰克福,🇩🇪,177 ms,5481 kB/s
141.193.213.21,2083,true,SJC,CN,North America,San Jose,北美洲,美国,圣何塞,🇺🇸,181 ms,5465 kB/s
172.66.130.112,8443,true,FRA,CN,Europe,Frankfurt,欧洲,德国,法兰克福,🇩🇪,184 ms,5463 kB/s
172.66.129.130,443,true,FRA,CN,Europe,Frankfurt,欧洲,德国,法兰克福,🇩🇪,181 ms,5461 kB/s
147.185.161.234,2096,true,SJC,CN,North America,San Jose,北美洲,美国,圣何塞,🇺🇸,179 ms,5457 kB/s
195.206.242.141,2053,true,FRA,DE,Europe,Frankfurt,欧洲,德国,法兰克福,🇩🇪,182 ms,5447 kB/s
66.81.247.238,2087,true,SJC,CN,North America,San Jose,北美洲,美国,圣何塞,🇺🇸,174 ms,5429 kB/s
172.66.131.224,8443,true,FRA,CN,Europe,Frankfurt,欧洲,德国,法兰克福,🇩🇪,173 ms,5403 kB/s
172.66.131.222,8443,true,FRA,CN,Europe,Frankfurt,欧洲,德国,法兰克福,🇩🇪,186 ms,5400 kB/s
77.91.69.146,443,true,TLV,IL,Middle East,Tel Aviv,中东,以色列,特拉维夫,🇮🇱,254 ms,5393 kB/s
172.66.133.163,443,true,FRA,CN,Europe,Frankfurt,欧洲,德国,法兰克福,🇩🇪,170 ms,5389 kB/s
172.66.135.158,2053,true,FRA,CN,Europe,Frankfurt,欧洲,德国,法兰克福,🇩🇪,172 ms,5355 kB/s
172.66.130.178,2083,true,FRA,CN,Europe,Frankfurt,欧洲,德国,法兰克福,🇩🇪,171 ms,5331 kB/s
172.66.132.106,2053,true,FRA,CN,Europe,Frankfurt,欧洲,德国,法兰克福,🇩🇪,167 ms,5318 kB/s
86.104.75.180,2053,true,BUD,HU,Europe,Budapest,欧洲,匈牙利,布达佩斯,🇭🇺,237 ms,5314 kB/s
49.238.238.147,8443,true,SJC,CN,North America,San Jose,北美洲,美国,圣何塞,🇺🇸,184 ms,5312 kB/s
172.66.132.198,2083,true,FRA,CN,Europe,Frankfurt,欧洲,德国,法兰克福,🇩🇪,177 ms,5311 kB/s
185.177.92.210,2053,true,AMS,NL,Europe,Amsterdam,欧洲,荷兰,阿姆斯特丹,🇳🇱,225 ms,5310 kB/s
49.238.238.71,443,true,SJC,CN,North America,San Jose,北美洲,美国,圣何塞,🇺🇸,173 ms,5303 kB/s
49.238.238.71,2083,true,SJC,CN,North America,San Jose,北美洲,美国,圣何塞,🇺🇸,168 ms,5286 kB/s
